squareMeters,numberOfRooms,hasYard,hasPool,floors,cityCode,cityPartRange,numPrevOwners,made,isNewBuilt,hasStormProtector,basement,attic,garage,hasStorageRoom,hasGuestRoom,price
79138,38,1,0,32,59451,5,8,2016,1,0,8150,6037,930,0,7,7637757
105698,49,1,0,38,74381,9,2,2021,0,0,1559,5111,957,1,2,9263635
40413,66,1,1,27,4863,9,10,1991,1,1,8339,6331,874,1,4,4712466
42525,22,0,1,4,28104,1,10,2008,1,0,7908,552,817,1,1,4801466
1557,97,1,1,11,44551,7,3,1998,1,0,2516,5601,307,1,4,582697.8
57238,47,0,1,27,44815,6,9,2021,0,0,5075,3104,864,0,4,6006892
57649,25,0,1,53,64601,10,5,2020,1,0,5278,1059,313,1,6,5520508
62447,10,1,1,52,76737,4,2,1998,1,1,9580,3787,227,1,1,5455269
63819,52,1,0,28,95678,4,6,1992,0,1,4480,6919,680,1,1,6998259
51323,11,1,1,20,55761,3,7,2021,0,0,231,1939,223,0,8,5432797
27454,29,0,1,68,67505,5,3,1999,1,1,8949,2080,630,0,5,3172007
66578,6,1,1,28,45312,3,1,1997,0,1,8414,6270,939,1,8,6314306
7301,89,0,1,17,7488,1,6,1994,1,0,186,2627,559,1,2,420657.4
41837,82,0,1,83,52015,6,10,2016,1,0,6250,8751,552,1,2,3300638
69210,8,0,0,51,95335,4,1,1990,1,0,3835,2403,559,0,6,6458001
94351,60,0,1,70,5484,2,1,1999,1,1,4086,5991,494,1,8,9410828
59655,60,1,1,22,1690,4,8,1993,1,0,4817,5222,927,0,0,6706025
60220,17,0,0,68,64247,7,1,2013,0,1,327,209,352,1,8,4805498
45851,57,1,0,74,2922,4,9,2010,0,0,3572,8722,811,1,6,3948652
55885,66,0,0,55,6739,4,9,2005,0,1,3388,2353,120,1,7,4368476
42572,74,1,0,17,32039,6,1,1990,1,0,6838,4925,828,0,9,4223037
44627,9,0,1,47,51526,5,1,2017,0,1,2768,6291,230,1,0,3668234
78278,15,1,0,55,63595,1,7,2016,1,0,3284,9879,641,0,2,8391428
9093,27,1,1,94,9283,3,10,2005,1,1,5866,3557,199,1,1,367751.5
92262,48,1,1,17,71000,6,9,1993,0,1,2485,108,864,0,7,9012562
23699,74,1,1,87,71053,10,9,2007,0,0,515,13,223,0,4,3036872
52500,5,0,1,35,5898,6,10,2016,0,0,8366,4799,979,1,7,5866663
75896,48,0,0,89,52165,10,1,1995,1,1,5024,8103,388,1,4,6702507
80590,43,0,1,38,49895,10,1,2018,0,1,3281,5020,968,0,8,7325532
54165,28,0,1,18,32083,9,8,2021,1,1,8384,7226,226,1,4,6030252
68287,20,1,0,58,46834,7,4,1998,0,0,6486,3310,366,0,0,7115613
90465,52,1,1,46,22405,9,6,2019,1,0,9584,8587,677,0,8,9276218
58031,60,1,1,24,76804,6,5,1992,1,0,8987,3149,808,1,4,5249003
61722,67,0,0,10,45626,3,3,1990,1,1,6928,7808,774,1,5,6736579
55238,99,0,1,87,20318,4,8,2013,1,0,5218,8217,144,0,3,4494321
65989,73,1,0,97,22943,9,5,2001,0,0,9265,8974,755,1,6,6165449
95888,50,0,1,72,22718,7,5,1993,0,0,2668,4669,766,0,8,8420407
82274,69,1,1,97,88798,6,1,1999,1,0,4850,5648,144,1,8,7787626
27162,31,1,1,37,87552,4,10,2020,1,0,6560,4287,116,0,6,2527035
45006,46,0,1,62,43289,6,3,2017,1,1,8827,1853,860,1,3,4211905
30836,43,0,1,51,3406,6,4,2021,0,1,1214,606,289,0,8,3839201
8056,4,0,0,89,55300,9,2,2009,1,1,7499,8969,493,1,3,740410.9
44638,75,0,1,9,67297,4,5,2019,0,1,3033,6475,800,1,4,3454415
19311,100,1,0,7,19550,7,8,2020,1,1,6795,9983,738,0,5,1283546
29169,74,0,1,38,73976,10,7,1999,1,1,1729,7952,616,1,2,3403432
4965,37,1,0,43,72736,4,7,2011,1,0,6738,5603,866,0,1,46273.1
6349,61,1,0,83,26435,4,7,1994,1,0,7782,2518,986,0,4,719578.4
43270,20,1,1,84,60113,5,1,1997,0,0,6566,628,408,0,2,3508476
23661,29,0,0,27,52970,4,1,1994,1,0,700,377,519,1,9,2569636
46207,64,0,0,23,79754,10,2,2012,1,1,2080,9575,753,0,7,5113622
80478,55,0,1,76,23408,8,4,2015,1,1,7126,5012,974,1,0,7908197
73030,64,1,1,41,92268,1,9,2006,1,0,1506,590,794,1,7,7079564
72422,60,0,1,100,58048,3,8,2020,0,0,3632,5960,723,1,3,8200512
97700,36,0,1,21,82521,6,2,2007,0,1,788,4788,132,1,8,9193347
68022,9,0,1,67,91168,2,3,2014,1,0,9080,9356,740,1,9,7220455
10317,19,0,0,52,69373,4,1,2003,0,0,2706,4593,648,1,6,2336809
31797,92,0,0,85,51212,4,6,2019,0,1,7618,1172,810,1,9,3953702
61266,23,0,0,8,849,8,3,1991,0,0,1492,5697,625,0,6,5520124
50311,49,0,1,92,2423,4,7,2006,0,0,8654,9588,290,1,8,5370003
70228,72,1,1,78,31721,3,9,1995,1,1,7480,2068,929,0,6,6810226
5272,59,0,0,1,2317,10,9,2018,1,1,1285,8119,869,1,10,138622.8
93968,93,1,1,61,74213,3,7,2019,1,1,8785,6602,968,1,4,8189886
27187,73,1,0,35,48674,4,9,2013,0,0,1718,5498,710,1,2,1788616
82682,71,0,0,93,68199,3,10,1995,1,1,3477,5530,342,0,2,7175210
40147,35,0,1,14,80204,10,6,2003,1,0,4633,7551,126,0,8,3267083
12958,71,1,1,25,32106,3,7,2010,1,1,7590,5224,564,1,1,2368759
21646,94,0,0,6,90448,3,10,1991,1,1,2214,1464,929,1,7,1661914
35291,24,1,0,67,74477,4,3,2002,1,0,1642,2925,139,0,9,3966914
71873,81,1,1,3,66191,7,9,1991,0,0,3218,9119,849,0,4,6514308
70786,91,1,0,94,87015,8,8,2013,1,0,5486,3641,766,0,3,6178030
59657,15,1,1,43,40786,8,8,2002,0,0,4018,4871,836,1,2,5727269
4329,57,0,0,57,30010,6,8,2021,1,1,2525,545,809,0,8,1342724
31914,77,0,0,36,98465,4,1,1997,1,1,1150,3100,812,1,0,2744503
18856,50,0,1,60,89670,5,2,2020,0,0,2475,1376,568,0,5,1888997
43347,29,1,0,66,21239,3,5,2004,0,1,8121,2996,853,0,6,4541370
41353,15,0,0,97,5800,9,8,2001,1,1,7369,6739,686,1,6,5609574
77655,68,0,0,92,6143,3,1,2011,1,0,6393,9082,734,0,0,8163994
23493,70,1,0,74,25093,9,6,2011,0,0,7173,9144,498,1,9,1838537
41801,54,1,0,7,77355,10,6,2018,1,1,216,1339,775,1,10,3563527
107400,12,1,0,77,18300,5,8,2002,0,1,4034,2877,787,1,6,9987702
46044,44,0,0,77,98008,6,3,2010,1,1,2662,5433,417,0,6,4753966
54013,45,0,1,7,91125,4,3,1993,1,0,292,744,675,0,4,6280628
11273,20,1,1,73,9406,3,1,2000,1,0,4089,9245,905,1,6,1853561
33373,63,1,0,47,74698,9,8,2001,0,1,9701,1325,514,0,4,3576788
20471,84,0,0,5,82401,9,9,1993,0,1,2422,1918,544,1,7,2254899
4574,81,1,0,1,17641,1,10,1992,1,0,6151,1651,243,0,9,1513550
33727,40,1,0,69,5581,10,5,2012,0,1,7466,6556,735,1,6,4380701
70494,34,1,1,38,44770,4,8,2016,0,0,9823,7174,728,1,0,7308893
89869,76,0,0,39,55723,5,1,1998,0,0,4500,4877,480,0,6,8456698
5754,66,1,0,91,82543,9,5,1991,0,1,1069,3823,927,0,10,995187.1
17425,96,0,1,96,85454,8,3,2019,0,1,1466,3642,933,1,1,1134233
37896,63,0,0,23,78080,5,5,2000,0,1,3861,7495,204,0,6,2993030
40469,94,0,0,58,25303,8,5,2008,0,1,1361,6855,409,0,3,4694352
84311,69,1,0,85,43517,4,2,1992,0,1,8135,1401,648,0,3,7688363
47524,1,0,0,66,20127,3,7,2004,0,1,2267,3070,531,0,3,5909838
68984,66,1,0,74,51371,4,4,2009,1,1,1543,9736,939,1,9,6930947
67825,25,0,1,84,87517,10,4,2007,1,1,3394,4287,640,0,5,5810689
57082,47,1,0,9,21934,3,2,2003,0,1,5079,3156,128,0,10,6600010
19357,21,1,0,13,21716,8,8,1991,1,1,8893,2564,463,0,2,1633335
66269,50,1,1,58,91978,8,10,1994,0,1,4008,1952,275,0,5,7409581
39535,46,1,1,47,84138,7,1,2014,1,1,1732,6019,243,0,7,3578398
15282,51,1,0,28,85842,1,5,2000,1,0,779,9037,482,0,10,907598
13328,19,0,1,14,47328,2,4,2020,0,1,5710,907,302,1,7,1721784
103051,82,0,0,64,82741,3,8,2009,0,1,4827,2626,918,0,7,10004914
40144,56,1,1,29,21945,10,8,2006,0,1,7330,3012,345,0,6,3409902
63940,22,1,1,30,61212,9,3,2007,0,0,2209,2120,637,0,7,7264159
91437,21,0,0,86,42450,3,7,1992,1,0,7843,5348,463,0,0,8638165
51376,35,0,1,77,2867,2,6,2013,1,1,1312,1272,794,0,1,3885018
25433,22,0,1,62,50367,10,10,1999,1,1,5264,3986,502,1,1,2474463
94143,45,0,0,65,41065,8,2,1999,0,0,7241,1060,757,1,1,9127084
60267,64,0,1,44,61931,4,2,2005,0,1,9385,9507,786,1,9,5567301
67299,17,1,1,79,38,7,3,2017,1,0,4927,1285,197,0,5,7048802
69372,47,0,0,87,26709,9,3,1990,0,1,1097,8551,964,0,10,6762164
6193,90,0,1,29,95979,1,2,2012,1,1,6423,7934,846,0,10,608744.2
72122,37,0,1,51,58147,2,5,2013,0,0,3772,2045,580,1,6,7231834
18314,98,1,1,71,91543,1,4,1995,0,1,112,53,586,0,3,2079106
2356,98,0,0,63,5989,2,3,1999,1,0,2142,7748,983,1,7,771163.9
5681,95,1,1,81,15949,4,3,2007,0,1,6109,1409,239,1,1,1662247
91703,73,1,1,97,54296,4,7,2000,1,0,9698,6310,837,0,4,8409101
46163,49,0,0,90,63489,4,8,1993,0,1,4138,5337,347,0,2,3369492
42705,95,0,0,88,72385,8,8,1991,1,0,1046,8463,331,0,8,3623809
2828,18,1,1,66,38920,7,2,2007,0,0,4949,5811,185,1,6,822755.7
49217,84,0,0,22,44513,6,8,1994,1,0,1618,9458,404,0,8,3879878
31963,10,0,0,14,28075,4,3,2014,1,1,1828,7626,462,1,8,3901403
45940,22,0,0,59,2019,9,1,2013,0,1,2090,4438,650,0,3,4133364
1105,2,0,0,15,71289,7,3,2005,0,0,8342,4705,742,0,0,504962.5
40860,28,0,0,62,85825,9,5,2013,0,0,7092,6757,924,1,0,4526308
58297,53,1,1,14,54408,7,3,1999,1,0,4139,7178,152,0,6,6405860
34010,88,0,0,94,1083,8,6,2020,0,1,718,6346,703,0,10,2521002
44217,64,0,1,32,68294,3,10,2016,0,0,3016,1891,633,1,4,5147773
78968,64,0,0,96,88421,6,7,2015,1,1,7416,6190,593,1,2,8459874
63919,98,0,1,63,1173,8,8,2016,1,0,2287,8181,426,1,6,6487105
13581,4,1,0,16,26610,4,1,2015,1,1,6838,9438,842,1,8,944925.5
76575,48,1,0,83,55318,2,9,2017,0,1,7997,655,374,1,0,8552275
86429,75,1,0,81,57714,6,10,2019,0,0,6899,1628,666,1,4,8715225
95135,100,0,1,24,99874,10,3,1999,0,0,6546,4094,373,0,6,9591677
40727,98,1,0,6,49191,8,10,2008,0,0,9981,6500,129,0,2,3783246
85967,97,0,1,68,93953,6,6,2015,0,1,15,4581,481,0,1,8318768
28517,100,1,0,34,63924,6,4,2003,0,1,9659,6233,802,0,0,2048743
66375,91,1,0,37,61836,3,3,2018,1,0,4717,5685,412,0,2,7537373
25983,9,1,1,18,86166,6,5,2013,0,1,9089,6967,398,1,7,3283236
54618,72,1,1,69,33082,5,7,1994,1,1,7668,9908,216,0,10,4603107
77393,69,0,1,36,57473,4,3,2018,0,0,9847,6227,140,1,4,7389795
13283,41,1,1,25,86898,9,4,2007,0,1,7228,764,138,0,6,1589467
4176,59,0,1,30,21687,8,4,1993,1,1,3900,1985,879,0,8,152171.3
22958,37,1,1,13,56604,6,8,1995,1,1,5692,9582,762,0,0,2986083
43814,84,0,1,41,64474,4,5,1999,0,0,5700,303,758,1,0,4012062
72648,38,1,0,69,93928,8,8,2003,1,0,6831,2741,727,1,6,5943806
92994,26,1,0,69,36941,10,8,2003,0,0,3744,5809,992,1,5,9883722
93306,49,0,0,41,5100,6,10,2021,1,1,6326,6738,429,1,3,9917348
84312,46,0,0,42,34482,3,6,2009,0,1,3510,781,290,1,4,8940510
68448,60,0,1,24,89820,8,7,1991,1,0,3578,3600,858,1,1,6763868
46838,57,1,0,60,69199,9,3,2020,1,0,4121,3307,374,0,8,3836267
81417,76,1,1,59,8723,8,10,1994,1,0,3413,2245,254,1,0,7273904
77715,77,1,0,19,40604,6,5,1997,0,0,7728,8516,186,1,4,8553173
19300,93,0,0,47,16237,3,9,1990,0,0,4492,270,714,0,8,2837176
20767,36,1,1,93,2400,3,5,2001,1,1,4148,6383,590,0,5,1345975
41138,3,0,1,73,39939,5,9,2020,0,0,4149,6785,188,0,5,5065695
94230,38,0,1,57,20289,7,4,1995,0,1,6028,8690,275,0,2,9819616
60190,16,0,0,21,83855,9,6,1999,0,1,6099,1511,588,0,2,5757481
41683,40,0,0,85,13378,7,1,1992,0,0,7660,774,551,0,8,3043942
20252,38,0,1,80,65184,10,3,1998,1,1,169,8853,697,1,10,2091097
99200,34,0,0,7,80176,7,4,2009,0,1,7125,7272,186,1,5,9794480
42515,12,1,0,15,57668,10,5,2000,0,0,2840,3137,377,0,4,3473142
18124,43,1,1,19,99289,7,5,2012,1,1,3216,5586,243,1,2,1763834
79360,47,1,1,7,20394,3,2,1993,1,1,325,3203,109,0,9,8041391
26252,13,1,1,2,2179,7,1,2019,1,0,637,7880,552,0,4,1603124
3475,5,1,1,46,65388,4,9,2017,0,1,2723,9228,524,1,5,129651.7
82751,95,0,1,67,13000,5,9,1995,0,1,3689,7215,132,1,3,7901094
25606,7,1,1,48,80216,4,10,1997,0,0,8080,9560,341,1,10,2059566
496,88,0,1,64,2052,3,6,1993,1,1,7414,6075,710,1,3,893462.3
65749,42,1,1,63,89878,1,2,1991,1,0,4703,7032,937,1,6,6986855
85977,18,0,0,19,79418,10,9,2001,1,1,5913,178,986,0,10,9429564
60617,72,0,0,87,55928,6,8,2018,1,0,7437,4833,131,0,7,6134132
13154,21,0,0,14,5324,10,1,1992,1,0,7478,6846,921,1,6,1174792
15354,96,1,1,31,95286,9,5,2010,1,0,1365,3757,321,0,6,1157632
21827,67,0,0,79,29406,8,7,1997,0,0,705,4914,898,1,3,2007704
74012,34,1,0,51,27565,9,9,1999,1,0,9170,9694,327,0,9,8348832
11197,11,1,0,63,32412,1,10,1997,1,0,6189,2892,626,0,1,854467.7
13839,41,1,0,89,74420,4,7,2001,0,1,6216,521,481,1,0,2321969
43805,52,0,0,74,45861,9,8,2015,1,0,65,9506,946,0,5,4597755
88458,20,1,0,28,7068,8,9,2017,1,0,5297,1410,306,1,8,9330909
62196,76,0,0,40,20761,2,5,2010,0,1,1627,996,639,0,2,5849399
8822,71,0,0,23,33439,7,3,2010,0,1,8609,3736,740,1,8,69125
62406,22,1,0,59,76622,1,2,1993,1,1,7163,9333,504,1,8,5548912
54537,84,1,0,12,31269,6,10,2000,0,0,239,1952,411,1,4,6332867
71564,99,0,0,21,63942,5,10,2018,0,1,1081,9015,448,0,4,7808075
88645,5,0,0,81,87339,3,9,1999,0,1,8554,1275,930,1,8,9176514
65637,95,0,0,69,32081,2,2,1994,1,1,9771,9634,951,1,7,5754289
64878,65,1,0,77,17051,9,8,1998,1,0,9762,545,369,1,6,6117316
86585,83,1,0,55,59173,4,5,1991,1,1,2684,784,101,1,8,9196462
26266,96,1,1,46,4864,4,9,1990,1,1,1780,393,413,1,3,2965047
24857,62,1,0,2,1498,7,7,2003,0,0,3718,9140,357,1,3,2703852
3922,65,1,0,79,7602,2,3,2017,0,1,2590,425,659,1,4,164528.7
104081,41,0,1,67,85917,7,3,2021,1,1,2146,1077,623,1,3,9909229
36300,62,1,0,93,73176,9,9,1996,0,1,8256,4656,136,0,1,2404188
82360,43,1,0,75,55046,7,10,2001,1,0,4108,5663,380,1,7,8309021
65656,67,0,1,53,8762,2,6,2021,1,1,8418,7187,706,0,8,7125681
83705,48,1,0,15,25300,6,5,2003,0,0,3333,149,842,0,9,9085833
77962,87,1,0,48,60979,8,7,2010,0,0,1811,6776,424,0,6,6836281
43932,95,0,0,5,81532,5,1,1993,1,1,5101,89,639,0,0,4770820
41443,79,1,0,40,79918,4,10,2006,1,1,388,1889,566,1,2,2869499
11053,78,1,0,4,98750,7,3,1996,1,0,7084,4158,225,1,0,1592143
52698,36,1,1,99,27819,1,5,2017,0,1,2637,1038,452,0,1,6631338
19997,94,1,0,56,85215,10,8,2000,0,1,3129,6029,236,1,3,2179877
77444,31,0,0,22,93675,1,9,1992,1,0,7463,8866,347,0,9,7444065
85583,78,1,1,42,5950,3,3,2017,0,1,6214,3127,596,1,2,8741618
93298,65,0,1,81,70871,4,4,2012,0,1,2438,8183,695,1,6,9684961
64068,65,1,1,100,39919,7,6,2019,1,0,7010,7994,993,1,0,6062338
8405,41,0,0,74,79028,9,6,1990,1,0,5851,1579,473,0,6,512989
1765,48,1,0,53,6500,4,10,2009,0,0,6401,6536,488,0,8,923554.9
63746,26,1,1,39,96357,6,8,2019,0,1,1374,3300,804,0,10,6544295
91071,56,1,1,82,34773,9,9,1990,0,1,5792,549,947,1,4,8787073
40487,26,1,0,46,73572,3,5,2001,1,0,5447,3025,610,0,3,4791345
14674,50,0,1,79,36865,8,1,2001,0,0,8031,383,643,0,4,1470330
108320,19,1,1,75,11526,3,5,1998,1,1,3157,986,585,1,6,9529547
72848,92,0,0,91,68354,9,8,2002,0,0,9413,9619,425,1,5,5940627
2098,28,0,0,4,66676,1,1,1997,0,1,8360,2070,142,0,4,174084.7
98356,36,1,1,34,61875,5,2,2020,0,1,2131,710,680,1,0,9685173
57092,36,0,0,9,90089,4,8,2006,0,0,338,8342,740,1,4,6286043
74623,43,1,1,89,79779,4,3,2012,0,0,9174,4094,712,1,5,5977595
86569,89,0,1,4,11466,9,5,2014,1,1,8321,5231,369,1,0,9742073
66286,6,1,0,10,22139,7,3,1997,0,0,1567,9732,378,1,3,6684690
13226,36,0,0,93,4777,5,9,2002,0,0,688,5948,954,1,10,2596147
92884,97,0,1,64,91809,7,4,2018,1,1,3874,9414,892,0,3,9652941
7645,47,1,1,99,48026,5,5,1995,0,1,2788,4069,839,1,0,502479.5
27946,21,1,0,75,72570,5,5,1990,0,1,651,4309,607,0,0,2332851
94941,70,0,1,65,3574,6,10,2017,1,1,2841,3067,404,1,3,9558434
30780,34,1,0,64,44973,6,2,2009,1,0,6737,1660,502,1,2,2849151
10096,34,1,1,37,93825,5,2,2003,0,1,7361,4828,277,0,5,1566818
17650,58,1,0,25,4414,10,4,2019,1,1,2327,7431,823,0,0,1890427
12666,46,1,1,16,18507,4,8,2019,0,0,4080,4764,619,1,2,2459129
54338,67,0,0,11,6144,4,1,2013,1,0,368,8180,312,0,3,5361741
48795,17,1,0,55,70068,9,3,2004,1,0,6586,382,258,0,3,4433629
67367,98,0,0,92,51635,6,1,1994,0,0,4848,784,942,1,3,7072038
82025,41,1,0,85,28464,10,3,2019,1,0,6052,369,651,1,6,8460594
31498,24,1,0,52,77207,4,2,2013,1,1,8821,9581,991,0,10,3555150
63037,64,0,0,81,90290,10,9,2013,0,0,7506,6802,687,0,7,6477393
38802,40,1,0,94,89328,2,9,2006,0,0,2261,9719,871,1,2,3235593
2730,63,1,1,52,32832,10,8,2020,1,0,2844,5531,878,0,7,145905
50336,74,0,1,30,6688,6,4,1991,1,0,3172,2821,172,1,9,3937444
22045,28,1,1,20,47125,1,3,2015,0,0,8462,890,523,1,7,3277752
71580,64,0,1,23,34837,2,1,2004,1,1,4431,8585,752,1,3,7216803
22158,44,1,0,83,50284,10,2,1996,0,0,318,6191,606,0,4,2077595
17086,38,1,0,41,4785,8,8,2005,0,0,3249,4423,503,0,1,746778.5
91866,41,0,0,14,58781,7,1,2020,1,1,8751,7515,985,1,6,7794153
80919,15,1,1,100,61317,10,5,2010,1,1,4845,8727,991,0,2,7088824
37144,59,1,0,10,76786,2,6,2016,1,0,7388,828,488,0,10,3237943
9535,12,1,1,67,75753,3,10,2015,1,1,150,473,949,1,1,271015.5
96922,55,0,0,77,48421,8,4,2019,1,1,7834,7083,745,0,9,8774669
32355,97,0,0,3,68804,10,5,1991,1,0,5804,2070,846,1,9,1808251
96279,30,1,1,79,55210,6,1,2011,0,1,1327,6342,285,0,3,9464649
67499,96,1,1,29,18856,1,10,2004,0,0,4505,9766,847,1,2,6105200
58432,4,1,0,64,58230,1,3,2013,0,0,8767,4062,882,1,4,5370971
58331,37,1,0,56,69063,10,7,2017,1,1,5616,5474,914,1,2,5925570
50976,63,0,0,41,28576,3,2,1990,1,0,2743,5018,815,0,0,5645616
66814,55,0,1,36,89469,2,10,2015,0,1,774,1091,958,1,10,6549761
45267,76,0,1,98,21758,10,4,2014,1,1,3573,3494,486,1,10,4187554
44351,99,0,1,68,58122,7,5,1992,0,0,9383,3076,631,0,3,4473118
44534,37,1,1,81,4826,7,4,2001,0,0,7210,5160,159,0,9,4727422
9087,17,1,0,26,94918,4,4,2004,1,0,6848,5362,294,1,10,319098.4
43792,85,0,0,100,6023,4,9,2004,0,0,6327,1053,403,1,0,4061644
20527,80,1,1,29,49538,2,5,1995,1,0,3192,2786,716,1,9,1715523
53250,85,1,0,80,21192,8,3,2016,0,0,8211,9476,532,0,1,5635582
66855,78,0,0,29,72210,2,6,2021,1,0,6819,4897,948,0,4,7018266
8240,100,0,0,54,79559,7,8,1993,0,0,9519,8043,718,0,6,518390.3
54420,65,1,1,57,39046,9,10,2006,0,1,7942,6968,786,1,3,5829672
48306,52,0,1,6,24285,10,2,2002,1,1,3220,9457,171,1,10,4737442
53917,51,0,0,24,8801,8,1,1998,0,1,3831,5615,356,1,1,5787401
390,71,0,0,40,28917,6,6,2005,1,0,413,3302,682,0,9,629749.5
35370,18,0,1,49,40098,7,7,1995,1,0,842,820,846,0,0,4201477
87637,11,1,0,47,89062,8,1,2007,0,1,3619,128,868,0,7,9467796
10493,41,0,1,98,23803,5,6,1996,0,1,2598,1190,631,1,6,1113011
13208,26,0,1,82,34780,10,4,2010,1,0,902,3876,125,1,7,1127041
7231,16,1,1,13,39998,4,1,2003,0,1,5811,6473,900,0,0,370221.3
57266,10,0,1,79,10177,6,4,1991,0,1,5687,2005,242,0,0,5266197
52922,60,0,0,29,42211,8,10,2007,0,1,4484,5437,329,0,6,6287854
27672,12,1,0,77,38471,3,5,2010,1,0,1133,5202,357,1,3,1940979
31219,39,1,0,46,16503,7,4,2019,0,1,3958,3737,889,1,3,3653229
27950,53,0,0,7,81916,8,8,2003,0,1,63,8840,328,0,2,2856531
10068,33,1,0,84,53104,10,5,2007,0,1,1256,7011,171,1,2,2036845
5266,25,1,1,39,860,1,4,2014,0,0,6482,2430,537,0,5,706933.4
40984,81,0,0,52,44087,5,2,1993,1,1,2798,5783,525,1,10,2821455
103113,14,0,1,95,5286,10,2,1996,1,1,61,7526,693,0,0,9242390
20747,28,0,0,77,46462,9,7,1995,0,1,3530,2821,663,0,0,3017880
51997,96,1,0,54,23667,9,6,2003,0,1,8051,8796,965,1,0,4998401
5670,56,0,1,84,27948,8,8,2002,1,0,6240,8680,497,1,2,169956.2
73309,14,0,1,85,82950,6,5,2013,0,1,8009,9856,255,0,4,7081150
28905,52,1,0,15,13856,7,6,2021,1,1,1238,5370,218,0,4,2873503
88804,7,1,1,37,32437,5,1,2000,1,0,6581,1046,315,0,3,9324199
31889,2,1,0,85,50891,4,4,2010,1,1,251,3567,918,1,5,3398549
57819,64,1,1,94,77132,2,10,1996,1,0,1236,3643,537,1,2,5500633
84365,84,1,0,5,98736,7,7,2000,1,0,4609,7857,378,0,5,7433324
91594,46,1,1,48,55155,9,10,2009,1,0,9164,9600,351,1,7,9486919
